,request_id,slot,metric_filter_id,metric,n_reqs_1,n_reqs_2,n_reqs_3,program_id,subprogram_name,total_requests_tonight,exposure_time,n_usable,observable_tonight,Yrtf_val,scheduled,field_id
113,17,5818,3,0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
114,17,5819,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
115,17,5819,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
116,17,5819,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
117,17,5820,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
118,17,5820,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
119,17,5820,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
120,17,5821,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
121,17,5821,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
122,17,5821,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
123,17,5822,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
124,17,5822,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
125,17,5822,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
126,17,5823,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
127,17,5823,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
128,17,5823,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
129,17,5824,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
130,17,5824,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
131,17,5824,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
132,17,5825,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
133,17,5825,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
134,17,5825,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
135,17,5826,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
136,17,5826,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
137,17,5826,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
138,17,5827,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
139,17,5827,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
140,17,5827,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
141,17,5828,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
142,17,5828,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
143,17,5828,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
144,17,5829,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
145,17,5829,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
146,17,5829,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
147,17,5830,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
148,17,5830,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
149,17,5830,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
150,17,5831,1,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
151,17,5831,2,-0.495,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
152,17,5831,3,-0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
153,18,5815,1,0.5253949692869874,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
154,18,5815,2,0.40170954879275855,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
155,18,5815,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
156,18,5816,1,0.5278775981798607,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
157,18,5816,2,0.40329823911821144,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
