# INDEX mount\_offsets\_ra\_arcsec\_total mount\_offsets\_dec\_arcsec\_total rotator\_field\_angle mount\_dec\_j2000\_deg mount\_ra\_j2000\_hours
 8612.6 0 60 -205.23152800595 46.827241293486 19.317078187901
 8612.7 0 60 -205.23152800595 46.827241293486 19.317078187901
 8612.8 0 60 -205.23170122357 46.827463945718 19.317078137777
 8612.9 0 60 -205.23170122357 46.827463945718 19.317078137777
 8613 0 60 -205.23170122357 46.827463945718 19.317078137777
 8613.1 0 60 -205.23170122357 46.827463945718 19.317078137777
 8613.2 0 60 -205.23095131544 46.827570750328 19.317078910167
 8613.3 0 60 -205.23095131544 46.827570750328 19.317078910167
 8613.4 0 60 -205.23095131544 46.827570750328 19.317078910167
 8613.5 0 60 -205.23194237571 46.827641781846 19.317078121374
 8613.6 0 60 -205.23194237571 46.827641781846 19.317078121374
 8613.7 0 60 -205.23191894975 46.827692689782 19.317078196329
 8613.8 0 60 -205.23191894975 46.827692689782 19.317078196329
 8613.9 0 60 -205.23212421103 46.827713333851 19.317078154303
 8614 0 60 -205.23212421103 46.827713333851 19.317078154303
 8614.1 0 60 -205.23176566545 46.827729184938 19.317078373859
 8614.2 0 60 -205.23176566545 46.827729184938 19.317078373859
 8614.3 0 60 -205.23197133939 46.827706670141 19.317078912489
 8614.4 0 60 -205.23209194578 46.827723828597 19.317078119964
 8614.5 0 60 -205.23209194578 46.827723828597 19.317078119964
 8614.6 0 60 -205.23209194578 46.827723828597 19.317078119964
 8614.7 0 60 -205.23211342053 46.827722881076 19.317078030761
 8614.8 0 60 -205.23211342053 46.827722881076 19.317078030761
 8614.9 0 60 -205.23186990356 46.827739098209 19.317078062638
 8615 0 60 -205.23186990356 46.827708905677 19.317078450341
 8615.1 0 60 -205.23186990356 46.827708905677 19.317078450341
 8615.2 0 60 -205.23188238145 46.827729227158 19.317078213004
 8615.3 0 60 -205.23188238145 46.827729227158 19.317078213004
 8615.4 0 60 -205.23189085161 46.827723572166 19.31707858085
 8615.5 0 60 -205.23214683295 46.82771397137 19.317078659625
 8615.6 0 60 -205.23214683295 46.82771397137 19.317078659625
 8615.7 0 60 -205.23209501301 46.827727296965 19.317078455653
 8615.8 0 60 -205.23209501301 46.827727296965 19.317078455653
 8615.9 0 60 -205.23146944299 46.827728987533 19.31707851147
 8616 0 60 -205.23146944299 46.827728987533 19.31707851147
 8616.1 0 60 -205.23197473284 46.82770632553 19.317078437459
 8616.2 0 60 -205.23197473284 46.82770632553 19.317078437459
 8616.3 0 60 -205.23197473284 46.82770632553 19.317078437459
 8616.4 0 60 -205.23186417048 46.827735648658 19.317078173958
 8616.5 0 60 -205.23186417048 46.827735648658 19.317078173958
 8616.6 0 60 -205.23206688093 46.82773417109 19.317078693451
 8616.7 0 60 -205.23201634582 46.82773417109 19.317078693451
 8616.8 0 60 -205.23201634582 46.82773417109 19.317078693451
 8616.9 0 60 -205.23201634582 46.82773417109 19.317078693451
 8617 0 60 -205.23201634582 46.82773417109 19.317078693451
 8617.1 0 60 -205.23193738921 46.827732104981 19.317078615365
 8617.2 0 60 -205.23193738921 46.827732104981 19.317078615365
 8617.3 0 60 -205.23146533753 46.827716598863 19.317078418867
 8617.4 0 60 -205.23146533753 46.827716598863 19.317078418867
 8617.5 0 60 -205.23162332134 46.827710773208 19.31707854447
 8617.6 0 60 -205.23162332134 46.827719597121 19.317078718596
 8617.7 0 60 -205.23162332134 46.827719597121 19.317078718596
 8617.8 0 60 -205.23162332134 46.827719597121 19.317078718596
 8617.9 0 60 -205.23175179678 46.827721945738 19.317078073675
 8618 0 60 -205.23175179678 46.827721945738 19.317078073675
 8618.1 0 60 -205.23209509763 46.827731265757 19.317078813748
 8618.2 0 60 -205.23209509763 46.827731265757 19.317078813748
 8618.3 0 60 -205.23209509763 46.827731265757 19.317078813748
 8618.4 0 60 -205.23209509763 46.827731265757 19.317078813748
 8618.5 0 60 -205.23208748182 46.827716617869 19.317078433277
 8618.6 0 60 -205.23208748182 46.827711172242 19.317078926753
 8618.7 0 60 -205.23208748182 46.827711172242 19.317078926753
 8618.8 0 60 -205.23208748182 46.827711172242 19.317078926753
