,obsHistID,requestID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,FWHMgeom,FWHMeff,airmass,filtSkyBright,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,slewDist,slewTime,fiveSigmaDepth,totalRequestsTonight,metricValue,subprogram
82,83,6188,1,8180,2.933612587670991,0.6457718232379019,g,10385113,58239.198078501446,120,30.0,30.0,2.0055875330927773,2.0055875330927773,1.0046606124167097,18.82012939453125,3.028328914110149,1.4744367603284712,5.435076400905822,1.4045383313177862,109.89137891791916,4.079843046453691,-0.25662592459805167,0.2605618514379344,2.084294014539953,98.4869634537746,-0.4435676060069636,5.42925394375919,0.026284924865208444,1.8947210274636745,20.83198689736385,1,1.1186284083414486,all_sky
83,84,6608,1,8764,2.991992978485576,0.6108652381980153,g,10385146,58239.19845589546,120,30.0,30.0,2.000923977234532,2.000923977234532,1.000770099596848,18.906564712524414,3.030706642816037,1.5315635417740858,5.479256436099096,1.3465790643945734,113.25236154992659,4.079909761375384,-0.25665451443734316,0.2622236362910113,2.085840887089533,98.4869634537746,-0.44505805499427264,5.431179507966697,0.0587231400439583,2.6068423315882683,20.862455708824353,1,1.1412405531026137,all_sky
84,85,6814,1,9061,3.0150856043516376,0.5934119456780721,g,10385178,58239.19882812797,120,30.0,30.0,2.0001324665139735,2.0001324665139735,1.0001103911987625,18.906564712524414,3.033051852102043,1.5559382620125315,5.409125441439679,1.3215524416435875,114.73071044854869,4.0799755001440445,-0.25668270394085474,0.26386128329031244,2.0873689715256405,98.4869634537746,-0.44652565517806764,5.433082413278516,0.025822045673348216,2.160889185965061,20.862487224676524,1,1.15711573918477,all_sky
85,86,5974,1,7894,2.9084709452630877,0.6632251157578453,g,10385211,58239.199210970044,120,30.0,30.0,2.009774675991248,2.009774675991248,1.0081588261720023,18.818029403686523,3.035463905728993,1.443487744061071,5.41986832634838,1.4303489136331256,108.37466236411358,4.080043046679458,-0.25671168721077564,0.26554413987282666,2.088943073311909,98.4869634537746,-0.4480325219517654,5.435043375195637,0.1109199042948442,3.077555112540722,20.83105833848184,1,1.077244077662454,all_sky
86,87,6187,1,8181,2.955505299676308,0.6457718232379019,g,10385245,58239.199596295744,120,30.0,30.0,2.0047517956500265,2.0047517956500265,1.0039629649313924,18.906564712524414,3.0378916071592,1.481915266247511,5.504270857599575,1.389237220888219,110.67341618859028,4.080110963983682,-0.2567408485295784,0.26723640428866635,2.0905299191716877,98.4869634537746,-0.44954652823068475,5.437020979638714,0.04119251677744453,3.2921403385698795,20.862275653264856,1,1.1174708139238336,all_sky
87,88,6399,1,8471,2.9796548969373773,0.6283185307179586,g,10385277,58239.199965383654,120,30.0,30.0,2.002472311621481,2.002472311621481,1.0020611085020075,18.906564712524414,3.0402170042243,1.5066468984718806,5.492743790870106,1.3639813715182794,112.16748684131693,4.08017595586036,-0.2567687715503057,0.2688559296316131,2.0920522865294395,98.4869634537746,-0.4509942435570937,5.438918945569281,0.026104467372764808,1.8891954626888037,20.862383684449345,1,1.1668073654662445,all_sky
88,89,5974,1,7895,2.930672929611857,0.6632251157578453,g,10385309,58239.200338837,120,30.0,30.0,2.008389043649169,2.008389043649169,1.0070006396103903,18.82012939453125,3.0425699052489095,1.4528129269892307,5.480213170673382,1.4148567251130826,109.16662248975409,4.080241653438172,-0.2567970154129542,0.2704931832558961,2.0935950514827715,98.4869634537746,-0.4524565918073931,5.440843053188623,0.052423414922596445,2.266369389370084,20.83185650242477,1,1.105544717764223,all_sky
89,90,5763,1,7613,2.9051286397455187,0.6806784082777885,g,10385341,58239.200708217926,120,30.0,30.0,2.012861761068126,2.012861761068126,1.0107410935216763,18.810997009277344,3.0448971483945892,1.4248797478767226,5.476134718545964,1.4405728087900407,107.64830399690136,4.080306572301984,-0.25682494191198735,0.27211116490331744,2.0951233686829953,98.4869634537746,-0.45390051948937726,5.4427498427623355,0.026537265463738535,1.9145115800201893,20.82845745836752,1,1.1124968409652063,all_sky
90,91,6603,1,8765,3.013364360643321,0.6108652381980153,g,10385374,58239.201091959345,120,30.0,30.0,2.000798733040209,2.000798733040209,1.0006656994704746,18.906564712524414,3.0473148682732605,1.5343181036021616,5.551771579570053,1.3317221916619788,114.01183730753792,4.080373949547878,-0.25685394421740765,0.2737905488387178,2.0967136148387104,98.4869634537746,-0.4553979665701955,5.444734632243619,0.11106329235189054,3.1552589181810617,20.86246370152318,1,1.1223758433445057,all_sky
91,92,5973,1,7896,2.952875088493552,0.6632251157578453,g,10385406,58239.20146704364,120,30.0,30.0,2.007186401087965,2.007186401087965,1.005995837540877,18.906564712524414,3.049678044888723,1.4615623427447284,5.551275497436681,1.3994800414974349,109.94778716006363,4.080439742327269,-0.25688228243740496,0.27543056205307437,2.098270469368178,98.4869634537746,-0.45685904409983324,5.446678465845765,0.07144394281707937,2.4072830975055695,20.86216839279617,1,1.1478124378011005,all_sky
92,93,6184,1,8182,2.977397837148698,0.6457718232379019,g,10385438,58239.201836210756,120,30.0,30.0,2.004287925372875,2.004287925372875,1.003575824189504,18.906564712524414,3.0520039409854838,1.486354617076503,5.554303530350166,1.3741786700534107,111.44392936963942,4.080504435063679,-0.2569101641099262,0.2770432639708085,2.099805170929678,98.4869634537746,-0.4582945642498575,5.448595331979586,0.026135967437464037,1.8960389010608196,20.862296792881555,1,1.1664169905833008,all_sky
93,94,6395,1,8472,3.0012465396467247,0.6283185307179586,g,10385470,58239.20220591864,120,30.0,30.0,2.0021533323476293,2.0021533323476293,1.0017950875515933,18.906564712524414,3.0543332441230024,1.510923020960853,5.561512981979888,1.349045202363152,112.92836233362813,4.080569160890407,-0.2569380771485038,0.278656891090326,2.1013445233367225,98.4869634537746,-0.45972968351500226,5.450518691714646,0.025925116419984295,1.942761154845357,20.862396019954126,1,1.1648705659130099,all_sky
94,95,5973,1,7897,2.9750770728423213,0.6632251157578453,g,10385503,58239.20259176953,120,30.0,30.0,2.006164616315755,2.006164616315755,1.0051424565815497,18.906564712524414,3.056764254429394,1.4695983478367023,5.634999607068262,1.384223181958681,110.7177480693493,4.080636647172732,-0.2569671988308613,0.2803394353859605,2.102953664713049,98.4869634537746,-0.4612247831634537,5.4525299770165745,0.04068347463828137,3.337516414001584,20.86221606047805,1,1.1158579386902547,all_sky
95,96,6183,1,8183,2.999290549154014,0.6457718232379019,g,10385536,58239.20296626478,120,30.0,30.0,2.0035402795109944,2.0035402795109944,1.0029519733585144,18.906564712524414,3.059123719850483,1.4940535119484768,5.665436983893192,1.3590459364388996,112.2040302357936,4.080702083183978,-0.2569954534954015,0.28197095080764445,2.104517973214754,98.4869634537746,-0.4626732505863327,5.4544859316293515,0.02595386031642143,2.3563898503780365,20.8623340183853,1,1.1498809136460115,all_sky
96,97,6598,1,8766,3.0347357428010664,0.6108652381980153,g,10385568,58239.20333968237,120,30.0,30.0,2.000644213548106,2.000644213548106,1.000536902261789,18.906564712524414,3.0614763955905486,1.5380346982711615,5.684192812060925,1.3169152017550434,114.760200126608,4.080767268082394,-0.2570236170456914,0.2835962822345275,2.1060802658287727,98.4869634537746,-0.46411495838201233,5.456440054955049,0.045172155579051035,2.2632799614220858,20.862470011339948,1,1.1534160858350408,all_sky
