# WINTER Observation Log for the night of 2020-02-11
# Created: 2020-02-10 16:29:51 UTC / 2020-02-10 08:29:51 Palomar Time
Time,	obsHistID,	requestID,	propID,	fieldID,	fieldRA,	fieldDec,	filter,	
1581370191,	39,	316,	1,	755,	3.2380247116088867,	0.8333947062492371,	g,	
1581370191,	40,	284,	1,	714,	3.054611921310425,	0.7077310085296631,	g,	
1581370191,	41,	186,	1,	575,	3.147249221801758,	0.3307398855686188,	g,	
1581370191,	42,	670,	3,	525,	3.2598366737365723,	0.2019345909357071,	g,	
1581370191,	43,	187,	1,	576,	3.2705650329589844,	0.3307398855686188,	g,	
1581370191,	44,	188,	1,	577,	3.395545482635498,	0.3307398855686188,	g,	
1581370191,	45,	220,	1,	625,	3.290105104446411,	0.45640361309051514,	g,	
1581370191,	46,	674,	3,	626,	3.4206857681274414,	0.45640361309051514,	g,	
1581370191,	47,	679,	3,	672,	3.28686261177063,	0.5820673108100891,	g,	
1581370191,	48,	254,	1,	673,	3.4239282608032227,	0.5820673108100891,	g,	
1581370191,	49,	681,	3,	674,	3.5609941482543945,	0.5820673108100891,	g,	
1581370191,	50,	474,	2,	718,	3.656179189682007,	0.7077310085296631,	g,	
1581370191,	51,	319,	1,	758,	3.743717908859253,	0.8333947062492371,	g,	
1581370191,	52,	484,	2,	757,	3.573117256164551,	0.8333947062492371,	g,	
1581370191,	53,	485,	2,	758,	3.743717908859253,	0.8333947062492371,	g,	
1581370191,	54,	712,	3,	792,	3.7247462272644043,	0.959058403968811,	g,	
1581370191,	55,	703,	3,	758,	3.743717908859253,	0.8333947062492371,	g,	
1581370191,	56,	497,	2,	792,	3.7247462272644043,	0.959058403968811,	g,	
1581370191,	57,	507,	2,	822,	3.83972430229187,	1.0847221612930298,	g,	
1581370191,	58,	344,	1,	792,	3.7247462272644043,	0.959058403968811,	g,	
1581370191,	59,	719,	3,	821,	3.6070139408111572,	1.0847221612930298,	g,	
1581370191,	60,	496,	2,	791,	3.5325660705566406,	0.959058403968811,	g,	
1581370191,	61,	364,	1,	821,	3.6070139408111572,	1.0847221612930298,	g,	
1581370191,	62,	383,	1,	845,	3.7399911880493164,	1.210385799407959,	g,	
1581370191,	63,	506,	2,	821,	3.6070139408111572,	1.0847221612930298,	g,	
1581370191,	64,	495,	2,	790,	3.340385675430298,	0.959058403968811,	g,	
1581370191,	65,	494,	2,	789,	3.148205280303955,	0.959058403968811,	g,	
1581370191,	66,	504,	2,	819,	3.1415927410125732,	1.0847221612930298,	g,	
1581370191,	67,	722,	3,	843,	3.1415927410125732,	1.210385799407959,	g,	
1581370191,	68,	717,	3,	819,	3.1415927410125732,	1.0847221612930298,	g,	
1581370191,	69,	361,	1,	818,	2.9088821411132812,	1.0847221612930298,	g,	
1581370191,	70,	381,	1,	843,	3.1415927410125732,	1.210385799407959,	g,	
1581370191,	71,	716,	3,	818,	2.9088821411132812,	1.0847221612930298,	g,	
1581370191,	72,	362,	1,	819,	3.1415927410125732,	1.0847221612930298,	g,	
1581370191,	73,	342,	1,	790,	3.340385675430298,	0.959058403968811,	g,	
1581370191,	74,	505,	2,	820,	3.374303102493286,	1.0847221612930298,	g,	
1581370191,	75,	710,	3,	790,	3.340385675430298,	0.959058403968811,	g,	
1581370191,	76,	483,	2,	756,	3.4025168418884277,	0.8333947062492371,	g,	
1581370191,	77,	472,	2,	716,	3.355395555496216,	0.7077310085296631,	g,	
1581370191,	78,	287,	1,	717,	3.5057871341705322,	0.7077310085296631,	g,	
1581370191,	79,	690,	3,	716,	3.355395555496216,	0.7077310085296631,	g,	
1581370191,	80,	691,	3,	717,	3.5057871341705322,	0.7077310085296631,	g,	
1581370191,	81,	286,	1,	716,	3.355395555496216,	0.7077310085296631,	g,	
1581370191,	82,	473,	2,	717,	3.5057871341705322,	0.7077310085296631,	g,	
1581370191,	83,	255,	1,	674,	3.5609941482543945,	0.5820673108100891,	g,	
1581370191,	84,	680,	3,	673,	3.4239282608032227,	0.5820673108100891,	g,	
1581370191,	85,	119,	1,	471,	2.9971609115600586,	0.07941248267889023,	r,	
1581370191,	86,	118,	1,	470,	2.87774920463562,	0.07941248267889023,	r,	
1581370191,	87,	150,	1,	522,	2.878912925720215,	0.2050761878490448,	r,	
1581370191,	88,	117,	1,	469,	2.7583377361297607,	0.07941248267889023,	r,	
1581370191,	89,	149,	1,	521,	2.7519381046295166,	0.2050761878490448,	r,	
1581370191,	90,	183,	1,	572,	2.7779462337493896,	0.3307398855686188,	r,	
1581370191,	91,	182,	1,	571,	2.6548454761505127,	0.3307398855686188,	r,	
1581370191,	92,	216,	1,	621,	2.7677831649780273,	0.45640361309051514,	r,	
1581370191,	93,	215,	1,	620,	2.637202501296997,	0.45640361309051514,	r,	
1581370191,	94,	249,	1,	668,	2.7385997772216797,	0.5820673108100891,	r,	
1581370191,	95,	248,	1,	667,	2.601534128189087,	0.5820673108100891,	r,	
1581370191,	96,	675,	3,	668,	2.7385997772216797,	0.5820673108100891,	r,	
1581370191,	97,	281,	1,	711,	2.6034367084503174,	0.7077310085296631,	r,	
1581370191,	98,	283,	1,	713,	2.9042201042175293,	0.7077310085296631,	r,	
1581370191,	99,	697,	3,	752,	2.744549036026001,	0.8333947062492371,	r,	
1581370191,	100,	687,	3,	713,	2.9042201042175293,	0.7077310085296631,	r,	
1581370191,	101,	338,	1,	786,	2.576122999191284,	0.959058403968811,	r,	
