Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
VCC 0982,186.80313405220002,17.8208180415,True,False,True
VCC 0797,186.35024967290002,18.1398221048,True,False,True
SDSS J122641.71+180813.5,186.67384,18.1371,True,False,True
VCC 0696,186.01684338080003,17.549469853599998,True,False,True
SDSS J122522.84+181053.5,186.34521,18.18185,True,False,True
MESSIER 100,185.72846291667,15.82181777778,True,False,True
2MASS J12252538+1628089,186.3558774105,16.4695247797,True,False,True
NGC 4405,186.5297832127,16.1810062568,True,False,True
NGC 4379,186.31141666667,15.607472222220002,True,False,True
NGC 4396,186.49508333333,15.671472222220002,True,False,True
NGC 4328,185.83345781990002,15.8203776324,True,False,True
IC 3313,186.401819224,15.829839267999999,True,False,True
LSBC F644-04,186.39991666667,15.84780555556,True,False,True
VCC 0769,186.2676883045,15.7113114313,True,False,True
VCC 0636,185.83834401389998,15.8683674076,True,False,True
AGC7529,186.5146,16.17107359801839,True,False,True
NGC 1395,54.623955,-23.02752388889,False,True,True
NGC 1401,54.84104166667,-22.724694444439997,False,True,True
ESO 482- G 018,54.5735,-23.419166666669998,False,True,True
ESO 482- G 017,54.430541666669995,-22.90819444444,False,True,True
LSBG F482-034,54.56895833333,-22.4865,False,True,True
NGC 5170,202.45328208333,-17.96641888889,False,True,True
MCG -03-34-082,202.19604166667,-17.512111111110002,False,True,True
GALEXASC J132726.20-173917.9,201.85958333333,-17.65491666667,False,True,True
NGC 4565,189.08658416667,25.98767472222,True,False,True
IC 3571,189.08329791667,26.08377083333,True,False,True
SDSS J124001.86+261916.2,190.00777557630002,26.3211833402,True,False,True
NGC 4473,187.45362771647999,13.429359543760002,True,False,True
NGC 4438,186.93997408639999,13.008826285969999,True,False,True
NGC 4435,186.91869835978,13.078945050669999,True,False,True
NGC 4461,187.26256079759,13.18376188954,True,False,True
NGC 4425,186.80555077455003,12.73472340986,True,False,True
NGC 4458,187.23985487374,13.24189310606,True,False,True
NGC 4486B,187.6332096846,12.490177983299999,True,False,True
IC 3393,187.1738028994,12.9159162582,True,False,True
IC 3386,187.09866666667,13.19575,True,False,True
SDSS J122858.14+123942.2,187.24225809150002,12.661744799500001,True,False,True
IC 3388,187.1169141971,12.823673819200001,True,False,True
IC 3363,186.7627907086,12.5608172484,True,False,True
VCC 1213,187.4135276887,12.5482395322,True,False,True
IC 3355,186.71306757669998,13.175718153110001,True,False,True
VCC 0941,186.69947781599998,13.379112752000001,True,False,True
VCC 1219,187.43366666666665,12.805472222222226,True,False,True
VCC 1153,187.2492256251,12.6484050547,True,False,True
[C2006a] N lsb10,186.70041666667,13.35486111111,True,False,True
VCC 1314,187.7042215112,13.2238374821,True,False,True
VCC 1027,186.9135310883,12.8799394609,True,False,True
NGC 4535,188.584625,8.19775,True,False,True
NGC 4526,188.51285583333,7.69952388889,True,False,True
NGC 4492,187.74881078619998,8.0778671788,True,False,True
NGC 4488,187.71405783310001,8.3599942229,True,False,True
UGC 07688,188.13496472218003,8.04526122481,True,False,True
SDSS J123359.46+074225.8,188.49775,7.70719,True,False,True
VCC 1455,188.1948913414,7.7990335376,True,False,True
VCC 1311,187.6970611465,7.6054408227999994,True,False,True
VCC 1441,188.1493298965,8.092397875,True,False,True
NGC 4472 DW04,187.7546986657,7.7232201462,True,False,True
VCC 1519,188.4260639952,7.7831492566,True,False,True
AGESVC1 262,188.11333333333,7.86444444444,True,False,True
AGESVC1 261,187.95416666667,7.8425,True,False,True
SN 1968L,204.252125,-29.866388888890004,False,True,True
MESSIER 083,204.25395833333,-29.865416666669997,False,True,True
NGC 3953,178.45382164321998,52.326770871040004,True,False,True
SDSS J115603.70+522618.3,179.01541666667,52.43844444444,True,False,True
NGC 2841,140.51097516652,50.97651867827,True,False,True
UGC 04932,139.89208333333,51.10916666667,True,False,True
2MASS J09220682+5058206,140.52846,50.97242,True,False,True
[PVK2003] J139.85000+51.10000,139.85,51.1,True,False,True
SDSS J092059.13+505240.2,140.24664,50.87792,True,False,True
MESSIER 058,189.43134166667,11.818193888889999,True,False,True
NGC 4564,189.11242791667,11.43928277778,True,False,True
NGC 4550,188.87742825580003,12.220824110499999,True,False,True
SDSS J123745.43+114900.3,189.43934,11.81675,True,False,True
NGC 4551,188.9081440551,12.263977909100001,True,False,True
SDSS J123739.44+114855.2,189.41433,11.81533,True,False,True
SDSS J123536.61+121530.8,188.90258,12.25856,True,False,True
VCC 1717,189.3706451948,12.353159639200001,True,False,True
VCC 1627,188.9052153718,12.3820265337,True,False,True
SDSS J123538.22+121607.3,188.90929,12.26869,True,False,True
VCC 1642,188.97137839229998,11.6819191299,True,False,True
VCC 1711,189.34229166667,12.28702777778,True,False,True
VCC 1606,188.81120833333,12.23741666667,True,False,True
VCC 1637,188.93966666667,12.18138888889,True,False,True
LSBVCC 079,189.6710070094,11.979229033800001,True,False,True
NGC 5033,198.36444083333,36.59393583333,True,False,True
SDSS J131057.97+370331.4,197.74158,37.05875,True,False,True
NGC 5002,197.65835641290002,36.633920242100004,True,False,True
SDSS J131420.58+363407.9,198.58579166667,36.56886111111,True,False,True
SDSS J131126.81+371842.3,197.8617600223,37.3117647755,True,False,True
SDSS J131051.05+365623.4,197.7127293615,36.9398413295,True,False,True
SDSS J131339.37+363307.1,198.41406,36.55198,True,False,True
SDSS J131115.77+365911.4,197.8157226089,36.9865075274,True,False,True
SDSS J131328.53+363055.3,198.368916667,36.51536092789073,True,False,True
SDSS J131334.82+363209.2,198.395083333,36.5356414,True,False,True
NGC 0676,27.238791666670004,5.90752777778,True,False,True
NGC 0693,27.62854166667,6.14522222222,True,False,True
MESSIER 032,10.6743,40.86528694444,True,False,True
NGC 5907,228.97404166667,56.32877138889,True,False,True
SDSS J151602.20+561733.1,229.00921,56.29251,True,False,True
KUG 1513+566,228.7005452355,56.454432151599995,True,False,True
NGC 4568,189.14275,11.23888888889,True,False,True
NGC 4567,189.13629166667,11.258,True,False,True
