# pos	HFD_med	HFD_mean	HFD_stderr_mean	HFD_stderr_med	FWHM_mean	FWHM_med	FWHM_std
1.024327111760139996e+04	2.546786508560180629e+00	2.446741982460022058e+00	7.285901931225247097e-02	9.131523893498906530e-02	2.929111462593078752e+00	2.949084014892578320e+00	2.322497488260269194e-01
9.549391995878570015e+03	6.657943180084228807e+00	6.148522771835327916e+00	6.603045475638921191e-01	8.275690243955411418e-01	1.272539493942260869e+01	1.387696746826171967e+01	4.342443906784057894e+00
1.022287458093110035e+04	2.364303513526916589e+00	2.280028955459594719e+00	8.067678674873354772e-02	1.011133573853755518e-01	2.705557888984680304e+00	2.747271532058715771e+00	1.452671092748641923e-01
9.712677682078829093e+03	5.743739667892456602e+00	5.424909000396728409e+00	7.039433453877766977e-01	8.822621466436685322e-01	1.088398441314697251e+01	1.319642479705810700e+01	5.162377807617187564e+00
1.044734987714230010e+04	4.698914512634277507e+00	4.528632633209229041e+00	2.434675560792287363e-01	3.051413300117516991e-01	7.040223026275635121e+00	7.191302742004395121e+00	1.369488622188568261e+00
1.018206024643340061e+04	2.181528984069824428e+00	2.156343031883239725e+00	6.307283601464215572e-02	7.905007705773324511e-02	2.501860431671142582e+00	2.525827805519104352e+00	7.703334683179856313e-02
9.590220504480990712e+03	3.802899459838867458e+00	4.010488857269287166e+00	4.822284348011017241e-01	6.043837147517466812e-01	7.929222587585449844e+00	6.622063558578491715e+00	4.562331523895263530e+00
1.036574246930399931e+04	3.541225760459900229e+00	3.463538947105408106e+00	1.397519205282544141e-01	1.751530577150535173e-01	4.821818492889404340e+00	4.861253412246703931e+00	6.985253677368163938e-01
1.003922070626989989e+04	2.960582514762878592e+00	2.880868515014648690e+00	1.901195935820404193e-01	2.382795744170484731e-01	3.699753158569336176e+00	3.884438438415527717e+00	6.834466829299926660e-01
9.957570776117450805e+03	4.268844352722168445e+00	3.936794643402099947e+00	1.925728951663520372e-01	2.413543319757647243e-01	5.566909374237060781e+00	5.630371440887451229e+00	7.115500903129577948e-01
1.026368891542880010e+04	2.647169898986816428e+00	2.634501928329467724e+00	7.253534460210239732e-02	9.090957284486649026e-02	3.224160076141357578e+00	3.256198198318481563e+00	9.698303273320198203e-02
9.753484929524189283e+03	5.003793746948242749e+00	5.120697717666626403e+00	3.973796371017601081e-01	4.980415170609389097e-01	1.004025357055664180e+01	9.998711692810058338e+00	3.439792001724243153e+00
9.977974399840129990e+03	4.075471702575684141e+00	3.772121690750122269e+00	1.615716854965791316e-01	2.025000776227563470e-01	5.300303365707398129e+00	5.495538547515869787e+00	4.964999003410339729e-01
9.773888553246870288e+03	3.111553571701049847e+00	3.661370385169983255e+00	7.154976478882932867e-01	8.967433173143857239e-01	6.428744237899780778e+00	5.324099418640137138e+00	4.951061124801635849e+00
9.569809793705959237e+03	4.017183038711547916e+00	4.676249488830566570e+00	5.968755866840199653e-01	7.480726110095654580e-01	9.485884864807129446e+00	7.248580368041992905e+00	5.732057847976684606e+00
9.998356762405750487e+03	3.808580825805664372e+00	3.565003148078918827e+00	1.222631087639453745e-01	1.532340826859953375e-01	4.912342597961425916e+00	4.948813287734985522e+00	2.822130439281463898e-01
1.046777476202209982e+04	4.906326145172119624e+00	4.787526311874390039e+00	3.426353391750203148e-01	4.294297145319443398e-01	7.581944648742676485e+00	7.892332817077637230e+00	1.820502819538116546e+00
9.794306351074250415e+03	6.226650442123413676e+00	5.187600868225097805e+00	6.714230359395345626e-01	8.415039830623117778e-01	9.519818405151367458e+00	1.201548906326294031e+01	3.713265290260315155e+00
9.610624128203669898e+03	5.029921186447143810e+00	5.133108373641968036e+00	5.549062151520405273e-01	6.954718043342890121e-01	9.957432907104493580e+00	1.039140411758422822e+01	5.107913311004638857e+00
9.671842086424059744e+03	4.329781269073486705e+00	5.184080234527588260e+00	7.176566916703910337e-01	8.994492774095719234e-01	9.976032447814942472e+00	7.781315086364746669e+00	5.591819124221801829e+00
9.631041926031050025e+03	6.499075139999390238e+00	6.397997577667236868e+00	9.786113740286683793e-01	1.226507470007876854e+00	1.266211508178711043e+01	1.580754930877685638e+01	5.625548234939575565e+00
