temperature, focus
35.3,12106.46
35.4,12108.28
35.5,12110.1
35.6,12111.92
35.7,12113.74
35.8,12115.56
35.9,12117.38
36.0,12119.2
36.1,12121.02
36.2,12122.84
36.3,12124.66
36.4,12126.48
36.5,12128.3
36.6,12130.12
36.7,12131.94
36.8,12133.76
36.9,12135.58
37.0,12137.4
37.1,12139.22
37.2,12141.04
37.3,12142.86
37.4,12144.68
37.5,12146.5
37.6,12148.32
37.7,12150.14
37.8,12151.96
37.9,12153.78
38.0,12155.6
38.1,12157.42
38.2,12159.24
38.3,12161.06
38.4,12162.88
38.5,12164.7
38.6,12166.52
38.7,12168.34
38.8,12170.16
38.9,12171.98
39.0,12173.8
39.1,12175.62
39.2,12177.44
39.3,12179.26
39.4,12181.08
39.5,12182.9
39.6,12184.72
39.7,12186.54
39.8,12188.36
39.9,12190.18
40.0,12192.0
40.1,12193.82
40.2,12195.64
40.3,12197.46
40.4,12199.28
40.5,12201.1
40.6,12202.92
40.7,12204.74
40.8,12206.56
40.9,12208.38
41.0,12210.2
41.1,12212.02
41.2,12213.84
41.3,12215.66
41.4,12217.48
41.5,12219.3
41.6,12221.12
41.7,12222.94
41.8,12224.76
41.9,12226.58
42.0,12228.4
42.1,12230.22
42.2,12232.04
42.3,12233.86
42.4,12235.68
42.5,12237.5
42.6,12239.32
42.7,12241.14
42.8,12242.96
42.9,12244.78
43.0,12246.6
43.1,12248.42
43.2,12250.24
43.3,12252.06
43.4,12253.88
43.5,12255.7
43.6,12257.52
43.7,12259.34
43.8,12261.16
43.9,12262.98
44.0,12264.8
44.1,12266.62
44.2,12268.44
44.3,12270.26
44.4,12272.08
44.5,12273.9
44.6,12275.72
44.7,12277.54
44.8,12279.36
44.9,12281.18
